"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","File_loc","Year","original","taxa_data.scientificNameAuthorship.i.","Title","EID","taxa_data.family.i.","taxa_data.ï..taxonID.i.","taxa_data.acceptedNameUsageID.i.","taxa_data.parentNameUsageID.i.","taxa_data.taxonomicStatus.i.","level"
"202","Alfonsiella brongersmai","Animalia","Insecta","Hymenoptera","10.4001/003.017.0212","2009","Alfonsiella brongersmai","Wiebes 1972","A fig crop pollinated by three or more species of agaonid fig wasps","2-s2.0-77649244625","Agaonidae","4544764",NA,"33395682","accepted name","1a"
"203","Alfonsiella fimbriata","Animalia","Insecta","Hymenoptera","10.1016/j.crvi.2004.11.002","2005","Alfonsiella fimbriata","Waterston 1920","Pollen waste and unrelated traits in a fig-fig wasp symbiosis: A new behaviour suggesting a host shift","2-s2.0-12144277391","Agaonidae","4544775",NA,"33395682","accepted name","1a"
"204","Alfonsiella fimbriata","Animalia","Insecta","Hymenoptera","10.1016/j.crvi.2004.11.002","2005","Alfonsiella fimbriata","Waterston 1920","Pollen waste and unrelated traits in a fig-fig wasp symbiosis: A new behaviour suggesting a host shift","2-s2.0-12144277391","Agaonidae","4544775",NA,"33395682","accepted name","1a"
"205","Allotriozoon heterandromorphum","Animalia","Insecta","Hymenoptera","10.1111/j.1095-8339.1979.tb02183.x","1979","Allotriozoon heterandromorphum","Grandi 1916","The pollination of Ficus vogelii in Ghana","2-s2.0-0002795455","Agaonidae","4545011",NA,"33359335","accepted name","1a"
"206","Alfonsiella longiscapa","Animalia","Insecta","Hymenoptera","10.4001/003.017.0212","2009","Alfonsiella longiscapa","Joseph 1959","A fig crop pollinated by three or more species of agaonid fig wasps","2-s2.0-77649244625","Agaonidae","4545113",NA,"33395682","accepted name","1a"
"207","Alfonsiella natalensis","Animalia","Insecta","Hymenoptera","10.4001/003.017.0212","2009","Alfonsiella natalensis","Wiebes 1972","A fig crop pollinated by three or more species of agaonid fig wasps","2-s2.0-77649244625","Agaonidae","4545135",NA,"33395682","accepted name","1a"
"208","Encarsia formosa","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2012.07.008","2012","Encarsia formosa","Gahan 1924","Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions","2-s2.0-84867638865","Aphelinidae","4545698",NA,"33304110","accepted name","1a"
"209","Elisabethiella baijnathi","Animalia","Insecta","Hymenoptera","10.5733/afin.054.0208","2013","Elisabethiella baijnathi","Wiebes 1989","Fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) associated with asian fig trees (Ficus, Moraceae) in southern Africa: Asian followers and African colonists","2-s2.0-84884772436","Agaonidae","4545740",NA,"33320667","accepted name","1a"
"210","Elisabethiella baijnathi","Animalia","Insecta","Hymenoptera","10.4001/003.020.0113","2012","Elisabethiella baijnathi","Wiebes 1989","Fig wasps as vectors of mites and nematodes","2-s2.0-84860336093","Agaonidae","4545740",NA,"33320667","accepted name","1a"
"211","Elisabethiella baijnathi","Animalia","Insecta","Hymenoptera","10.1111/j.1570-7458.1994.tb01859.x","1994","Elisabethiella baijnathi","Wiebes 1989","Dispersal of adult female fig wasps: 1. Arrivals and departures","2-s2.0-0028183713","Agaonidae","4545740",NA,"33320667","accepted name","1a"
"212","Elisabethiella baijnathi","Animalia","Insecta","Hymenoptera","10.1111/j.1570-7458.1994.tb01860.x","1994","Elisabethiella baijnathi","Wiebes 1989","Dispersal of adult female fig wasps: 2. Movements between trees","2-s2.0-0028183714","Agaonidae","4545740",NA,"33320667","accepted name","1a"
"213","Elisabethiella socotrensis","Animalia","Insecta","Hymenoptera","10.1098/rspb.2011.1972","2012","Elisabethiella socotrensis","Mayr 1885","Floral volatiles, pollinator sharing and diversification in the fig-wasp mutualism: Insights from Ficus natalensis, and its two wasp pollinators (South Africa)","2-s2.0-84858774087","Agaonidae","4545751",NA,"33320667","accepted name","1a"
"214","Eretmocerus eremicus","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2012.07.008","2012","Eretmocerus eremicus","Rose  Zolnerowich 1997","Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions","2-s2.0-84867638865","Aphelinidae","4546503",NA,"33327362","accepted name","1a"
"215","Eukoebelea sycomori","Animalia","Insecta","Hymenoptera","","2006","Eukoebelea sycomori","Wiebes 1968","The species richness of fig wasps (Hymenoptera: Chalcidoidea: Agaonidae, Pteromalidae) in Yemen","2-s2.0-84872586710","Agaonidae","4547143",NA,"33320211","accepted name","1a"
"216","Eupristina verticillata","Animalia","Insecta","Hymenoptera","10.1080/09583157.2016.1214862","2016","Eupristina verticillata","Waterston 1921","Non-pollinator fig wasp impact on the reproductive success of an invasive fig tree: why so little?","2-s2.0-84988485944","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"217","Eupristina verticillata","Animalia","Insecta","Hymenoptera","","2015","Eupristina verticillata","Waterston 1921","Fig Wasps of Philippine Ficus microcarpa L.: Diversity and trophic structure in an urban setting","2-s2.0-85033712219","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"218","Eupristina verticillata","Animalia","Insecta","Hymenoptera","10.1111/icad.12111","2015","Eupristina verticillata","Waterston 1921","The fig wasp followers and colonists of a widely introduced fig tree, Ficus microcarpa","2-s2.0-84935104799","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"219","Eupristina verticillata","Animalia","Insecta","Hymenoptera","10.5846/stxb201305231153","2013","Eupristina verticillata","Waterston 1921","The genetic evolutionary relationships of two Eupristina species on Ficus altissima","2-s2.0-84885437248","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"220","Eupristina verticillata","Animalia","Insecta","Hymenoptera","10.5846/stxb201204120514","2012","Eupristina verticillata","Waterston 1921","Community structure and dynamics of fig wasps in syconia of Ficus microcarpa Linn. f. in Fuzhou","2-s2.0-84868314709","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"221","Eupristina verticillata","Animalia","Insecta","Hymenoptera","10.3906/zoo-1111-3","2012","Eupristina verticillata","Waterston 1921","Occurrence of fig wasps (Hymenoptera: Chalcidoidea) in Ficus caria and F. microcarpa in Hatay, Turkey","2-s2.0-84865816134","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"222","Eupristina verticillata","Animalia","Insecta","Hymenoptera","10.1186/1471-2148-11-86","2011","Eupristina verticillata","Waterston 1921","Comparisons of host mitochondrial, nuclear and endosymbiont bacterial genes reveal cryptic fig wasp species and the effects of Wolbachia on host mtDNA evolution and diversity","2-s2.0-79953242644","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"223","Eupristina verticillata","Animalia","Insecta","Hymenoptera","","2008","Eupristina verticillata","Waterston 1921","Phenology and the production of seeds and wasps in Ficus microcarpa in Guangzhou, China","2-s2.0-41549118632","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"224","Eupristina verticillata","Animalia","Insecta","Hymenoptera","","2005","Eupristina verticillata","Waterston 1921","A recent expansion of its Queensland range by Eupristina verticillata, waterston (hymenoptera, agaonidae, agaoninae), the pollinator of Ficus microcarpa l.f. (Moraceae)","2-s2.0-33748868378","Agaonidae","4547450",NA,"33304713","accepted name","1a"
"225","Eupristina altissima","Animalia","Insecta","Hymenoptera","10.1016/j.actao.2013.04.003","2014","Eupristina altissima","Balakrishnan  Abdurahiman 1981","A switch from mutualist to exploiter is reflected in smaller egg loads and increased larval mortalities in a 'cheater' fig wasp","2-s2.0-84899644611","Agaonidae","4547698",NA,"33304713","accepted name","1a"
"226","Eupristina altissima","Animalia","Insecta","Hymenoptera","10.5846/stxb201305231153","2013","Eupristina altissima","Balakrishnan  Abdurahiman 1981","The genetic evolutionary relationships of two Eupristina species on Ficus altissima","2-s2.0-84885437248","Agaonidae","4547698",NA,"33304713","accepted name","1a"
"227","Eupristina altissima","Animalia","Insecta","Hymenoptera","","2008","Eupristina altissima","Balakrishnan  Abdurahiman 1981","Co-occurrence of two Eupristina species on Ficus altissima in Xishuangbanna, SW China","2-s2.0-41549115591","Agaonidae","4547698",NA,"33304713","accepted name","1a"
"228","Heterandrium rasplusi","Animalia","Insecta","Hymenoptera","10.1080/00222939300770071","1993","Heterandrium rasplusi","Boucek 1993","The genera of chalcidoid wasps from ficus fruit in the new world","2-s2.0-0001204058","Agaonidae","4548229",NA,"33294999","accepted name","1a"
"229","Hansonita pertusae","Animalia","Insecta","Hymenoptera","10.1080/00222939300770071","1993","Hansonita pertusae","Boucek 1993","The genera of chalcidoid wasps from ficus fruit in the new world","2-s2.0-0001204058","Pteromalidae","4549102",NA,"33395932","accepted name","1a"
"230","Diplosoma listerianum","Animalia","Ascidiacea","Enterogona","10.1111/j.1420-9101.2004.00708.x","2004","Diplosoma listerianum","MilneEdwards 1841","Plant-like mating in an animal: Sexual compatibility and allocation trade-offs in a simultaneous hermaphrodite with remote transfer of sperm","2-s2.0-2342622203","Didemnidae","5285147",NA,"33350183","accepted name","1a"
"231","Montastraea annularis","Animalia","Anthozoa","Scleractinia","10.1111/j.1558-5646.2007.00218.x","2007","Montastraea annularis","Ellis  Solander 1786","A theoretical investigation of sympatric evolution of temporal reproductive isolation as illustrated by marine broadcast spawners","2-s2.0-35748969872","Faviidae","5378155",NA,"33314497","accepted name","1a"
"232","Pimpla turionellae","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2003.08.005","2004","Pimpla turionellae","Linnaeus 1758","Assessing the suitability of flowering herbs as parasitoid food sources: Flower attractiveness and nectar accessibility","2-s2.0-1642539054","Ichneumonidae","6512009",NA,"33360308","accepted name","1a"
"233","Sphecophaga vesparum","Animalia","Insecta","Hymenoptera","10.1007/BF02980392","1995","Sphecophaga vesparum","Curtis 1828","Parasitization of Vespa orientalis nests by Sphecophaga vesparum curtis in Southern Israel (Hymenoptera: Vespidae, Ichneumonidae)","2-s2.0-0029151999","Ichneumonidae","6513122",NA,"33360432","accepted name","1a"
"234","Campoletis chlorideae","Animalia","Insecta","Hymenoptera","10.1017/S1742758407877459","2007","Campoletis chlorideae","Uchida 1957","Relative toxicity of neem to natural enemies associated with the chickpea ecosystem: A case study","2-s2.0-38649093929","Ichneumonidae","6513996",NA,"33361049","accepted name","1a"
"235","Lissopimpla excelsa","Animalia","Insecta","Hymenoptera","10.1111/bij.12841","2016","Lissopimpla excelsa","Costa 1864","Behaviour of sexually deceived ichneumonid wasps and its implications for pollination in Cryptostylis (Orchidaceae)","2-s2.0-85032109662","Ichneumonidae","6515524",NA,"33360755","accepted name","1a"
"236","Lissopimpla excelsa","Animalia","Insecta","Hymenoptera","10.1111/j.1095-8312.2012.01902.x","2012","Lissopimpla excelsa","Costa 1864","Floral shape mimicry and variation in sexually deceptive orchids with a shared pollinator","2-s2.0-84862339757","Ichneumonidae","6515524",NA,"33360755","accepted name","1a"
"237","Lissopimpla excelsa","Animalia","Insecta","Hymenoptera","10.1111/j.1469-7998.2012.00903.x","2012","Lissopimpla excelsa","Costa 1864","Metabolic rate, evaporative water loss and field activity in response to temperature in an ichneumonid wasp","2-s2.0-84861454199","Ichneumonidae","6515524",NA,"33360755","accepted name","1a"
"238","Lissopimpla excelsa","Animalia","Insecta","Hymenoptera","10.1007/s00114-009-0611-0","2010","Lissopimpla excelsa","Costa 1864","Colour mimicry and sexual deception by Tongue orchids (Cryptostylis)","2-s2.0-73649133964","Ichneumonidae","6515524",NA,"33360755","accepted name","1a"
"239","Lissopimpla excelsa","Animalia","Insecta","Hymenoptera","10.1007/s00114-009-0611-0","2010","Lissopimpla excelsa","Costa 1864","Colour mimicry and sexual deception by Tongue orchids (Cryptostylis)","2-s2.0-73649133964","Ichneumonidae","6515524",NA,"33360755","accepted name","1a"
"240","Lissopimpla excelsa","Animalia","Insecta","Hymenoptera","10.1111/j.1095-8339.2003.00249.x","2004","Lissopimpla excelsa","Costa 1864","Chemical communication in the sexually deceptive orchid genus Cryptostylis","2-s2.0-1242322529","Ichneumonidae","6515524",NA,"33360755","accepted name","1a"
"241","Ophion luteus","Animalia","Insecta","Hymenoptera","10.1007/s00606-014-1192-8","2015","Ophion luteus","Linnaeus 1758","Comparative reproductive biology of Apocynum venetum L. in wild and managed populations in the arid region of NW China","2-s2.0-84938201127","Ichneumonidae","6516699",NA,"33361064","accepted name","1a"
"242","Cotesia glomerata","Animalia","Insecta","Hymenoptera","10.1038/s41598-018-21880-2","2018","Cotesia glomerata","Linnaeus 1758","Trans-generational inheritance of herbivory-induced phenotypic changes in Brassica rapa","2-s2.0-85042533673","Braconidae","6533133",NA,"33363786","accepted name","1a"
"243","Cotesia glomerata","Animalia","Insecta","Hymenoptera","10.1186/s12898-015-0047-7","2015","Cotesia glomerata","Linnaeus 1758","Floral volatiles interfere with plant attraction of parasitoids: Ontogeny-dependent infochemical dynamics in Brassica rapa","2-s2.0-84930938850","Braconidae","6533133",NA,"33363786","accepted name","1a"
"244","Cotesia glomerata","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2003.08.005","2004","Cotesia glomerata","Linnaeus 1758","Assessing the suitability of flowering herbs as parasitoid food sources: Flower attractiveness and nectar accessibility","2-s2.0-1642539054","Braconidae","6533133",NA,"33363786","accepted name","1a"
"245","Cotesia sesamiae","Animalia","Insecta","Hymenoptera","10.1007/s10886-012-0082-1","2012","Cotesia sesamiae","Cameron 1906","Oviposition Induced Volatile Emissions from African Smallholder Farmers' Maize Varieties","2-s2.0-84858750353","Braconidae","6533180",NA,"33363786","accepted name","1a"
"246","Aphidius ervi","Animalia","Insecta","Hymenoptera","10.1111/1365-2435.12933","2017","Aphidius ervi","Haliday 1834","Nectar bacteria affect life history of a generalist aphid parasitoid by altering nectar chemistry","2-s2.0-85032582463","Braconidae","6533245",NA,"33409632","accepted name","1a"
"247","Aphidius ervi","Animalia","Insecta","Hymenoptera","10.4161/psb.6.4.14915","2011","Aphidius ervi","Haliday 1834","Emerging roles in plant defense for cis-jasmone-induced cytochrome P450 CYP81D11","2-s2.0-79955632250","Braconidae","6533245",NA,"33409632","accepted name","1a"
"248","Aphidius colemani","Animalia","Insecta","Hymenoptera","","2015","Aphidius colemani","Viereck 1912","NEW INSIGHTS OF SIDE-EFFECTS OF TAU-FLUVALINATE ON BIOLOGICAL AGENTS AND POLLINATORS","2-s2.0-84973154493","Braconidae","6533533",NA,"33409632","accepted name","1a"
"249","Aphidius colemani","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2012.07.008","2012","Aphidius colemani","Viereck 1912","Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions","2-s2.0-84867638865","Braconidae","6533533",NA,"33409632","accepted name","1a"
"250","Heterospilus prosopidis","Animalia","Insecta","Hymenoptera","10.1016/j.biocontrol.2003.08.005","2004","Heterospilus prosopidis","Viereck 1910","Assessing the suitability of flowering herbs as parasitoid food sources: Flower attractiveness and nectar accessibility","2-s2.0-1642539054","Braconidae","6533651",NA,"33409644","accepted name","1a"
"251","Chelonus blackburni","Animalia","Insecta","Hymenoptera","10.1515/jppr-2016-0001","2016","Chelonus blackburni","Cameron 1886","Selective toxicity of diafenthiuron to non-target organisms: Honey bees, coccinellids, chelonus, earthworms, silkworms and fish","2-s2.0-84968813523","Braconidae","6534797",NA,"33363835","accepted name","1a"
"252","Cardiochiles ruficollis","Animalia","Insecta","Hymenoptera","","1999","Cardiochiles ruficollis","Cameron 1902","Systematics of the world genera of Cardiochilinae (Hymenoptera: Braconidae)","2-s2.0-0033400146","Braconidae","6535014",NA,"33409826","accepted name","1a"
"253","Cardiochiles ruficollis","Animalia","Insecta","Hymenoptera","","1999","Cardiochiles ruficollis","Cameron 1902","Systematics of the world genera of Cardiochilinae (Hymenoptera: Braconidae)","2-s2.0-18444366202","Braconidae","6535014",NA,"33409826","accepted name","1a"
"254","Aphidius rhopalosiphi","Animalia","Insecta","Hymenoptera","10.1897/08-260R.1","2009","Aphidius rhopalosiphi","de StefaniPerez 1902","Estimating ecotoxicological effects of pesticide drift on nontarget arthropods in field hedgerows","2-s2.0-64849098631","Braconidae","6535534",NA,"33409632","accepted name","1a"
"255","Amblyseius swirskii","Animalia","Arachnida","Mesostigmata","10.1016/j.biocontrol.2012.07.008","2012","Amblyseius swirskii","AthiasHenriot 1962","Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions","2-s2.0-84867638865","Phytoseiidae","6778420",NA,"33307907","accepted name","1a"
"256","Anthocoris nemoralis","Animalia","Insecta","Hemiptera","","2015","Anthocoris nemoralis","Fabricius 1794","NEW INSIGHTS OF SIDE-EFFECTS OF TAU-FLUVALINATE ON BIOLOGICAL AGENTS AND POLLINATORS","2-s2.0-84973154493","Anthocoridae","6838980",NA,"33326342","accepted name","1a"
"257","Orius insidiosus","Animalia","Insecta","Hemiptera","10.1093/ee/nvx050","2017","Orius insidiosus","Say 1832","Thiamethoxam toxicity and effects on consumption behavior in orius insidiosus (hemiptera: Anthocoridae) on soybean","2-s2.0-85020862593","Anthocoridae","6839011",NA,"33326298","accepted name","1a"
"258","Orius insidiosus","Animalia","Insecta","Hemiptera","10.1371/journal.pone.0169409","2017","Orius insidiosus","Say 1832","Characterization of the activity spectrum of MON 88702 and the plant-incorporated protectant Cry51Aa2.834-16","2-s2.0-85009110842","Anthocoridae","6839011",NA,"33326298","accepted name","1a"
"259","Orius insidiosus","Animalia","Insecta","Hemiptera","10.1016/j.biocontrol.2012.07.008","2012","Orius insidiosus","Say 1832","Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions","2-s2.0-84867638865","Anthocoridae","6839011",NA,"33326298","accepted name","1a"
"260","Orius insidiosus","Animalia","Insecta","Hemiptera","10.1603/029.102.0305","2009","Orius insidiosus","Say 1832","Flower-inhabiting frankliniella thrips (Thysanoptera: Thripidae), pesticides, and fusarium hardlock in cotton","2-s2.0-68149167809","Anthocoridae","6839011",NA,"33326298","accepted name","1a"
"261","Apiomerus pictipes","Animalia","Insecta","Hemiptera","10.1007/s00606-016-1351-1","2017","Apiomerus pictipes","HerrichSchaeffer 1846","Bamboo flowers visited by insects: do insects play a role in the pollination of bamboo flowers?","2-s2.0-84988442235","Reduviidae","6839152",NA,"33303963","accepted name","1a"
"262","Arilus cristatus","Animalia","Insecta","Hemiptera","10.1653/024.100.0408","2017","Arilus cristatus","Linnaeus 1763","First Report of Native Astata unicolor (Hymenoptera: Crabronidae) Predation on the Nymphs and Adults of the Invasive Brown Marmorated Stink Bug (Hemiptera: Pentatomidae)","2-s2.0-85038967692","Reduviidae","6839217",NA,"33377779","accepted name","1a"
"263","Nezara viridula","Animalia","Insecta","Hemiptera","10.1093/jee/tox267","2017","Nezara viridula","Linnaeus 1758","Potential of Three Trap Crops in Managing Nezara viridula (Hemiptera: Pentatomidae) on Tomatoes in Florida","2-s2.0-85038387771","Pentatomidae","6840235",NA,"33348253","accepted name","1a"
"264","Nezara viridula","Animalia","Insecta","Hemiptera","10.1603/EN13175","2014","Nezara viridula","Linnaeus 1758","Milkweed (Gentianales: Apocynaceae): A farmscape resource for increasing parasitism of stink bugs (Hemiptera: Pentatomidae) and providing nectar to insect pollinators and monarch butterflies","2-s2.0-84898459009","Pentatomidae","6840235",NA,"33348253","accepted name","1a"
"265","Nezara viridula","Animalia","Insecta","Hemiptera","10.1080/03235400903024662","2011","Nezara viridula","Linnaeus 1758","Prevailing insects in Roselle plants, Hibiscus sabdariffa L., and their efficiency on pollination","2-s2.0-79951872799","Pentatomidae","6840235",NA,"33348253","accepted name","1a"
"266","Nezara viridula","Animalia","Insecta","Hemiptera","10.2478/s11756-009-0122-7","2009","Nezara viridula","Linnaeus 1758","Pollination biology of Disanthus cercidifolius var. longipes, an endemic and endangered plant in China","2-s2.0-70349754396","Pentatomidae","6840235",NA,"33348253","accepted name","1a"
"267","Chauliognathus pennsylvanicus","Animalia","Insecta","Coleoptera","10.1603/AN11120","2012","Chauliognathus pennsylvanicus","De Geer","Floral host plants of adult beetles in central illinois: An historical perspective","2-s2.0-84858382376","Cantharidae","6844031",NA,"33334256","accepted name","1a"
"268","Atta texana","Animalia","Insecta","Hymenoptera","10.1007/BF00378829","1988","Atta texana","Buckley 1860","Adverse effects on pollen exposed to Atta texana and other North American ants: implications for ant pollination","2-s2.0-0024187144","Formicidae","6845817",NA,"33334196","accepted name","1a"
"269","Formica fusca","Animalia","Insecta","Hymenoptera","10.1080/21658005.2016.1149351","2016","Formica fusca","Linnaeus 1758","Composition of anthophilous insects in Prunus cerasus and Prunus domestica (Rosaceae) orchards in Latvia: Preliminary notes on insect diversity","2-s2.0-84961218376","Formicidae","6845821",NA,"33334198","accepted name","1a"
"270","Monomorium minimum","Animalia","Insecta","Hymenoptera","10.1016/j.flora.2008.11.005","2009","Monomorium minimum","Buckley 1867","Reproductive biology of two species of Canavalia DC. (Fabaceae)-A non-conventional wild legume","2-s2.0-71649104785","Formicidae","6845824",NA,"33334200","accepted name","1a"
"271","Monomorium pharaonis","Animalia","Insecta","Hymenoptera","10.1017/S001447970002233X","1968","Monomorium pharaonis","Linnaeus 1758","Flowering, pollination and pod formation in bambara groundnut (Voandzeia Subterranea) in Ghana","2-s2.0-77949689699","Formicidae","6845825",NA,"33334200","accepted name","1a"
"272","Pheidole megacephala","Animalia","Insecta","Hymenoptera","10.1007/s00040-005-0807-z","2005","Pheidole megacephala","Fabricius 1793","Interference and exploitation competition of three nectar-thieving invasive ant species","2-s2.0-23944501059","Formicidae","6845827",NA,"33334054","accepted name","1a"
"273","Pheidole megacephala","Animalia","Insecta","Hymenoptera","10.1007/s004420050600","1998","Pheidole megacephala","Fabricius 1793","Geographic and taxonomic distribution of a positive interaction: Ant-tended homopterans indirectly benefit figs across southern Africa","2-s2.0-0031711986","Formicidae","6845827",NA,"33334054","accepted name","1a"
"274","Pheidole megacephala","Animalia","Insecta","Hymenoptera","10.1017/S001447970002233X","1968","Pheidole megacephala","Fabricius 1793","Flowering, pollination and pod formation in bambara groundnut (Voandzeia Subterranea) in Ghana","2-s2.0-77949689699","Formicidae","6845827",NA,"33334054","accepted name","1a"
"275","Solenopsis geminata","Animalia","Insecta","Hymenoptera","10.1002/ece3.2570","2016","Solenopsis geminata","Fabricius 1804","Dominance in a ground-dwelling ant community of banana agroecosystem","2-s2.0-85003451730","Formicidae","6845835",NA,"33334057","accepted name","1a"
"276","Solenopsis invicta","Animalia","Insecta","Hymenoptera","10.1653/024.099.0202","2016","Solenopsis invicta","Buren 1972","Effect of Solenopsis invicta (Hymenoptera: Formicidae) on Flower-Visiting Behavior of Insects on Brassica napus (Brassicales: Brassicaceae)","2-s2.0-84975745585","Formicidae","6845836",NA,"33334057","accepted name","1a"
"277","Solenopsis invicta","Animalia","Insecta","Hymenoptera","10.1093/ee/nvv127","2015","Solenopsis invicta","Buren 1972","Sublethal Effect of Imidacloprid on Solenopsis invicta (Hymenoptera: Formicidae) Feeding, Digging, and Foraging Behavior","2-s2.0-84955584095","Formicidae","6845836",NA,"33334057","accepted name","1a"
"278","Solenopsis invicta","Animalia","Insecta","Hymenoptera","10.1603/EC14162","2014","Solenopsis invicta","Buren 1972","Effects of Solenopsis invicta (Hymenoptera: Formicidae) and its interaction with aphids on the seed productions of mungbean and rapeseed plants","2-s2.0-84926653130","Formicidae","6845836",NA,"33334057","accepted name","1a"
"279","Solenopsis xyloni","Animalia","Insecta","Hymenoptera","10.1111/j.1365-313X.2006.02995.x","2007","Solenopsis xyloni","McCook 1879","Making sense of nectar scents: The effects of nectar secondary metabolites on floral visitors of Nicotiana attenuata","2-s2.0-33847167409","Formicidae","6845839",NA,"33334057","accepted name","1a"
"280","Solenopsis xyloni","Animalia","Insecta","Hymenoptera","10.1111/j.2006.0030-1299.14143.x","2006","Solenopsis xyloni","McCook 1879","A mutualism's indirect costs: The most aggressive plant bodyguards also deter pollinators","2-s2.0-33646140292","Formicidae","6845839",NA,"33334057","accepted name","1a"
"281","Tapinoma sessile","Animalia","Insecta","Hymenoptera","10.1007/BF00344969","1981","Tapinoma sessile","Say 1836","Nectar parasitism of Asclepias syriaca by ants: Effect on nectar levels, pollinia insertion, pollinaria removal and pod production","2-s2.0-0000497210","Formicidae","6845840",NA,"33305636","accepted name","1a"
"282","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1242/jeb.162255","2017","Nomia melanderi","Cockerell 1906","Juvenile hormone, but not nutrition or social cues, affects reproductive maturation in solitary alkali bees (Nomia melanderi)","2-s2.0-85031810764","Halictidae","6845875",NA,"33304742","accepted name","1a"
"283","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1007/s13592-016-0444-8","2017","Nomia melanderi","Cockerell 1906","Timing and size of daily pollen meals eaten by adult females of a solitary bee (Nomia melanderi) (Apiformes: Halictidae)","2-s2.0-85008517728","Halictidae","6845875",NA,"33304742","accepted name","1a"
"284","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1603/EC13470","2014","Nomia melanderi","Cockerell 1906","Quadrat method for assessing the population abundance of a commercially managed native soil-nesting bee, Nomia melanderi (hymenoptera: Halictidae), in proximity to alfalfa seed production in the Western United States","2-s2.0-84905748908","Halictidae","6845875",NA,"33304742","accepted name","1a"
"285","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1007/s13592-012-0180-7","2013","Nomia melanderi","Cockerell 1906","Manipulation of soil temperatures to influence brood emergence in the alkali bee (Nomia melanderi)","2-s2.0-84877830304","Halictidae","6845875",NA,"33304742","accepted name","1a"
"286","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1080/00779962.2010.9722196","2010","Nomia melanderi","Cockerell 1906","A review of New Zealand's deliberately introduced bee fauna: Current status and potential impacts","2-s2.0-78249286847","Halictidae","6845875",NA,"33304742","accepted name","1a"
"287","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1051/apido:2008013","2008","Nomia melanderi","Cockerell 1906","A native ground-nesting bee (Nomia melanderi) sustainably managed to pollinate alfalfa across an intensively agricultural landscape","2-s2.0-44449153624","Halictidae","6845875",NA,"33304742","accepted name","1a"
"288","Nomia melanderi","Animalia","Insecta","Hymenoptera","","2003","Nomia melanderi","Cockerell 1906","Annual displacement of soil in nest tumuli of alkali bees (Nomia melanderi) (Hymenoptera: Apiformes: Halictidae) across an agricultural landscape","2-s2.0-0038025682","Halictidae","6845875",NA,"33304742","accepted name","1a"
"289","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1603/0022-0493-95.1.22","2002","Nomia melanderi","Cockerell 1906","Pollinating bees (Hymenoptera: Apiformes) of U.S. alfalfa compared for rates of pod and seed set.","2-s2.0-0036481988","Halictidae","6845875",NA,"33304742","accepted name","1a"
"290","Nomia melanderi","Animalia","Insecta","Hymenoptera","10.1080/00218839.1988.11100774","1988","Nomia melanderi","Cockerell 1906","The alfalfa leafcutting bee, megachile rotundata (Megachilidae), does not pollinate kiwifruit, actinidia deliciosa var. Deliciosa (Actinidiaceae)","2-s2.0-57749196809","Halictidae","6845875",NA,"33304742","accepted name","1a"
"291","Agapostemon virescens","Animalia","Insecta","Hymenoptera","10.1093/ee/nvx069","2017","Agapostemon virescens","Fabricius 1775","Does passive sampling accurately reflect the bee (apoidea: Anthophila) communities pollinating apple and sour cherry orchards?","2-s2.0-85020896970","Halictidae","6845876",NA,"33328335","accepted name","1a"
"292","Agapostemon virescens","Animalia","Insecta","Hymenoptera","10.1093/ee/nvv001","2015","Agapostemon virescens","Fabricius 1775","Survey of soybean insect pollinators: Community identification and sampling method analysis","2-s2.0-84936992078","Halictidae","6845876",NA,"33328335","accepted name","1a"
